case,kind,payoff,strikeBps,replications,ordinaryMean,pairedMean,ordinaryVariance,pairedVariance,varianceRatio,varianceRatioCI95,ordinaryGas,pairedGas,varianceTimesGasGain,ordinaryReportedSeRms,pairedReportedSeRms,ordinarySpreadOverReported,pairedSpreadOverReported,pairedMinusOrdinaryMean,differenceSe,meanDifferenceZ,ordinaryZeroSeCount,pairedZeroSeCount,sourceSha256
MSFT,recorded feed,call,10000,256,1.9875127545594853,1.9829429369002458,0.08435197841691232,0.04857346002447856,1.7365857481514226,"[1.3429350321542788, 2.22733766145244]",36980176,25556790,2.512805661655133,0.2841574289524619,0.22339299125272524,1.0220887825626204,0.9865747063399334,-0.004569817659239795,0.018397954367213244,-0.24838727002082406,0,0,7fc46705bbacfa9ed21a1dbd552e9aa88959bafd8394c97813aad661c2717a24
MSFT,recorded feed,call,10200,256,0.11395499888712421,0.11198212611522355,0.007845340014968097,0.007603564721085839,1.0317976242395595,"[0.7493053479347305, 1.3815077044241337]",36980176,25556790,1.492991011029193,0.08481394887442084,0.08665165602784063,1.0443320372174112,1.0063099258432724,-0.0019728727719006507,0.0055834316131456035,-0.3533441275175161,3,4,7fc46705bbacfa9ed21a1dbd552e9aa88959bafd8394c97813aad661c2717a24
MSFT,recorded feed,put,9800,256,0.11025638281313754,0.101866799097005,0.009849832838349133,0.006389500030929361,1.5415655044478436,"[0.901805362797672, 2.7386130714820407]",36980176,25556790,2.230615177806369,0.09833318313790942,0.07956074969140105,1.0092861929975576,1.0046957647446615,-0.008389583716132538,0.00634639719737874,-1.3219443182027273,9,7,7fc46705bbacfa9ed21a1dbd552e9aa88959bafd8394c97813aad661c2717a24
MSFT,recorded feed,put,10000,256,2.011847514564051,1.9837696907910851,0.09582916793554913,0.045628545338205005,2.100202126218363,"[1.6405580559087232, 2.6835013330469604]",36980176,25556790,3.038951459206312,0.2874993036082967,0.21660847065566086,1.0767430112031038,0.9861497652153592,-0.028077823772965985,0.018693118372437024,-1.502040655472802,0,0,7fc46705bbacfa9ed21a1dbd552e9aa88959bafd8394c97813aad661c2717a24
MSFT,recorded feed,put,10200,256,10.054743093291691,10.029262214406062,0.22644916256390055,0.006302669433632047,35.92908765856127,"[26.223004774728572, 49.08742982233608]",36980176,25556790,51.988688138573885,0.44800580463342876,0.0795312529989322,1.0621888016323173,0.9982158008166364,-0.02548087888562691,0.02990133277518814,-0.8521653224357517,0,0,7fc46705bbacfa9ed21a1dbd552e9aa88959bafd8394c97813aad661c2717a24
MU,recorded feed,call,9800,256,21.900113556291828,21.94806376984301,2.7575564960099395,0.37873098139880623,7.281042828408627,"[5.6003372651643275, 9.652741472320846]",37803218,26378244,10.434616091566518,1.5804428183789025,0.6302390335867055,1.0507113463077544,0.9764727297213165,0.04795021355118498,0.10494817587166065,0.45689420662082286,0,0,dc43be051f7e43d97264da9f3caa5de0a05c886feaa609424becbe698f2edf33
MU,recorded feed,call,10000,256,7.712519606008092,7.702126927097667,1.2792730114902229,0.8151910590881485,1.5692922502378577,"[1.2214211785322617, 2.0237415471828712]",37803218,26378244,2.248985832470588,1.1355050513004603,0.9059769042322544,0.9960761657599013,0.996580941177087,-0.01039267891042521,0.07446982361506457,-0.13955557306198405,0,0,dc43be051f7e43d97264da9f3caa5de0a05c886feaa609424becbe698f2edf33
MU,recorded feed,call,10200,256,1.8184808982546548,1.7905795779148046,0.42284072076468915,0.3688960150987938,1.1462328229581131,"[0.8659522310427611, 1.5072089192259654]",37803218,26378244,1.6426904416018349,0.6423943166200806,0.6238033879925552,1.0122474985426357,0.9736531041607808,-0.02790132033985027,0.04278059343230749,-0.652195729449126,0,0,dc43be051f7e43d97264da9f3caa5de0a05c886feaa609424becbe698f2edf33
MU,recorded feed,put,9800,256,1.7425171058144493,1.6688017804940234,0.4346183276402173,0.2942225915055802,1.4771752414259267,"[1.062259269949918, 2.050212036445785]",37803218,26378244,2.1169710036735934,0.6313481340409426,0.5609719238847101,1.044203433577259,0.9669341134943749,-0.07371532532042588,0.04103589426294258,-1.7963621030916443,0,0,dc43be051f7e43d97264da9f3caa5de0a05c886feaa609424becbe698f2edf33
MU,recorded feed,put,10000,256,7.843441094130714,7.711382876348678,1.51437453639078,0.711054597123263,2.1297584496570794,"[1.6989526519444564, 2.7589863471679177]",37803218,26378244,3.0522017674765842,1.1218194460985986,0.8447008315077471,1.0969673090766625,0.9982712244616923,-0.13205821778203594,0.07309206134619502,-1.8067381785355894,0,0,dc43be051f7e43d97264da9f3caa5de0a05c886feaa609424becbe698f2edf33
MU,recorded feed,put,10200,256,22.237920324977278,22.088353465765813,2.748200395263689,0.2870418068731217,9.574216471116522,"[7.369855133628368, 12.524455081827739]",37803218,26378244,13.72101161990952,1.5646158173854685,0.5558929102075657,1.0595378665577386,0.9637878397708434,-0.149566859211461,0.10336441313769375,-1.4469860048662986,0,0,dc43be051f7e43d97264da9f3caa5de0a05c886feaa609424becbe698f2edf33
NVDA,recorded feed,call,9800,256,4.479729702649749,4.487161759991983,0.04571837167010569,0.0010556749603831675,43.30724265119612,"[32.817213476738615, 58.829890843694464]",37011140,25587773,62.64126310552273,0.20074120090311418,0.031926233170264114,1.0651453090283685,1.0176945040455934,0.007432057342232717,0.013373659721841735,0.5557235264551221,0,0,1412a29d269c9678cee9ef00334d68794488a6d4b8701d67cf26f6ef1fe9489a
